compound score,media source,tweet date,tweet negative score,tweet neutral score,tweet positive score,tweet source,tweet text
0.765,@FoxNews,Tue Apr 10 21:08:54 +0000 2018,0.0,0.631,0.369,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",".@SenMikeLee: “Isn’t there a significant free market incentive that a social media company, including yours, has in… https://t.co/gNJsC453ib"
0.0,@FoxNews,Tue Apr 10 21:01:39 +0000 2018,0.0,1.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Mark Zuckerberg: “What we’re going to do is require a valid government identity, and we’re going to verify the loca… https://t.co/VuySdsks78"
0.5709,@FoxNews,Tue Apr 10 20:53:20 +0000 2018,0.0,0.802,0.198,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Mark #Zuckerberg: “I am very committed to making sure that Facebook is a platform for all ideas. That is a very imp… https://t.co/iVpDo7kiIj
0.6249,@FoxNews,Tue Apr 10 20:49:18 +0000 2018,0.0,0.806,0.194,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",.@SenTedCruz: “There are a great many Americans who I think are deeply concerned that Facebook and other tech compa… https://t.co/TCzT77K4de
0.0,@FoxNews,Tue Apr 10 20:40:42 +0000 2018,0.0,1.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",".@SenTedCruz: “Does Facebook consider itself a neutral public forum?”

Mark #Zuckerberg: “Senator, we consider ours… https://t.co/B1lRtloF9O"
0.4019,@FoxNews,Tue Apr 10 20:33:58 +0000 2018,0.0,0.87,0.13,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",".@JohnCornyn: ""If I choose to terminate my Facebook account, can I bar Facebook or any third parties from using the… https://t.co/SQQ1T5j1a7"
-0.4404,@FoxNews,Tue Apr 10 20:33:53 +0000 2018,0.153,0.847,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",".@Facebook CEO Mark Zuckerberg testifies before Congress in the wake of a data privacy scandal. 

Live blog:… https://t.co/xNe5pu66re"
0.7269,@FoxNews,Tue Apr 10 20:15:56 +0000 2018,0.0,0.724,0.276,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""No""

Mark #Zuckerberg responds to @SenatorDurbin's questions on if he would feel comfortable sharing with the comm… https://t.co/0APyWC8mQZ"
0.4404,@FoxNews,Tue Apr 10 20:08:20 +0000 2018,0.0,0.868,0.132,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Mark #Zuckerberg on Facebook’s terms of service: We can always do better, and the services are complex…I think for… https://t.co/4hXP6HGVYj"
-0.296,@FoxNews,Tue Apr 10 19:59:44 +0000 2018,0.104,0.896,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Mark #Zuckerberg: “My position is not that there should be no regulation…I think the real question, as the internet… https://t.co/pUyQ1FpmGf"
0.0747,@FoxNews,Tue Apr 10 19:56:49 +0000 2018,0.098,0.79,0.112,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @FoxBusiness: .@LindseyGrahamSC: ""You don't think you have a monopoly?""

Zuckerberg: ""It certainly doesn't feel like that to me."" https:…"
0.4019,@FoxNews,Tue Apr 10 19:48:55 +0000 2018,0.0,0.863,0.137,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""I know we're working with [the special counsel].""

Mark #Zuckerberg confirms @facebook has been working with speci… https://t.co/KfuyW7jsiv"
-0.296,@NYTimes,Tue Apr 10 22:47:04 +0000 2018,0.084,0.916,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","RT @andrewrsorkin: A missed Q for Zuck: When a user uploads a pic or video, what kind of machine learning and AI is used to tag it? Walk us…"
0.0,@NYTimes,Tue Apr 10 22:38:03 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","We are fact checking Mark Zuckerberg, Facebook’s chief executive, as he testifies before Congress… https://t.co/t4xVThsEPZ"
0.6187,@NYTimes,Tue Apr 10 22:28:09 +0000 2018,0.0,0.768,0.232,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","RT @kevinroose: Sen. Kennedy (R-LA): ""Mr. Zuckerberg, I come in peace. I don’t want to have to vote to regulate Facebook, but by god I will…"
0.0772,@NYTimes,Tue Apr 10 22:18:05 +0000 2018,0.089,0.81,0.101,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Bank of America will no longer lend money to manufacturers of firearms like the AR-15, which has been used in multi… https://t.co/nCBlR6t0X6"
-0.0772,@NYTimes,Tue Apr 10 22:07:05 +0000 2018,0.08,0.92,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",RT @NYTStyles: All of the times Mark Zuckerberg put on the Serious Suit of Contrition. https://t.co/hhzc3b6i0x
0.4019,@NYTimes,Tue Apr 10 22:01:06 +0000 2018,0.0,0.886,0.114,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",RT @kevinroose: It's notable that even Cory Booker is grilling Zuckerberg now. Booker was the pro-tech mayor who convinced Zuckerberg to gi…
