,lat,lng,city,country,temp_max,humidity,wind_speed,cloudiness,Date
267,8.31,16.9,beboto,TD,76.49,47.0,9.66,0.0,2018-04-03
268,-15.72,-50.82,itapirapua,BR,75.68,82.0,5.08,8.0,2018-04-03
269,-16.32,15.25,ondjiva,AO,64.79,98.0,3.85,92.0,2018-04-03
270,45.17,-57.02,saint-pierre,FR,50.0,93.0,12.75,0.0,2018-04-03
271,-18.52,66.18,quatre cocos,MU,80.6,88.0,8.05,75.0,2018-04-03
272,-8.59,161.93,auki,NG,68.03,49.0,2.84,0.0,2018-04-03
273,-5.52,-88.9,san cristobal,EC,60.8,63.0,10.29,75.0,2018-04-03
274,28.53,115.27,nanchang,CN,67.85,100.0,4.07,76.0,2018-04-03
275,55.68,7.84,hvide sande,DK,50.0,93.0,6.93,92.0,2018-04-03
276,14.74,-88.85,ojos de agua,HN,93.2,28.0,11.41,40.0,2018-04-03
277,3.29,31.41,yumbe,UG,66.14,99.0,4.85,88.0,2018-04-03
278,-17.33,-142.51,tautira,PF,87.8,62.0,3.36,75.0,2018-04-03
279,-22.44,36.89,inhambane,MZ,76.4,100.0,5.75,80.0,2018-04-03
280,70.95,90.32,talnakh,RU,-11.45,75.0,9.33,64.0,2018-04-03
281,20.23,100.67,chiang khong,LA,71.6,100.0,2.39,76.0,2018-04-03
282,21.77,51.35,abu samrah,SY,48.77,50.0,8.43,0.0,2018-04-03
283,-37.43,37.74,margate,AU,59.0,58.0,8.05,0.0,2018-04-03
284,44.3,72.85,shu,KZ,40.58,37.0,22.3,0.0,2018-04-03
285,-26.64,22.49,tsabong,BW,65.69,76.0,7.54,64.0,2018-04-03
286,59.66,-129.57,ketchikan,US,37.4,74.0,4.7,75.0,2018-04-03
287,63.14,63.75,igrim,RU,34.28,81.0,9.22,56.0,2018-04-03
288,51.3,-8.93,clonakilty,IE,44.6,100.0,6.93,75.0,2018-04-03
289,-27.58,148.66,roma,IT,55.4,55.0,6.93,0.0,2018-04-03
290,-16.42,125.42,kununurra,AU,71.6,78.0,6.76,0.0,2018-04-03
291,61.1,-105.33,la ronge,CA,17.6,37.0,13.87,5.0,2018-04-03
292,-17.41,22.51,shakawe,BW,72.98,46.0,10.45,20.0,2018-04-03
293,-19.55,-155.35,vaitape,PF,81.8,100.0,8.21,64.0,2018-04-03
294,14.25,-96.36,pochutla,MX,86.0,100.0,17.22,20.0,2018-04-03
295,7.17,12.41,tignere,CM,62.36,89.0,4.74,0.0,2018-04-03
296,-19.51,139.0,mount isa,AU,78.8,44.0,8.05,0.0,2018-04-03
297,-13.8,170.95,sola,NO,42.8,75.0,18.34,75.0,2018-04-03
298,-35.03,-156.9,avera,US,86.0,39.0,4.7,40.0,2018-04-03
299,16.86,118.04,catuday,PH,78.29,98.0,7.43,76.0,2018-04-03
300,-6.67,133.89,tual,ID,79.73,100.0,13.13,76.0,2018-04-03
301,1.28,12.32,oyem,GA,73.25,95.0,2.51,88.0,2018-04-03
302,-20.36,163.61,poum,MK,33.38,86.0,1.61,36.0,2018-04-03
303,-11.03,141.88,daru,SL,76.76,78.0,8.66,20.0,2018-04-03
304,55.97,91.3,kozulka,UA,46.4,65.0,4.47,0.0,2018-04-03
305,-14.61,154.59,samarai,PG,83.78,100.0,5.86,20.0,2018-04-03
306,24.51,15.24,marzuq,YE,50.75,89.0,2.39,0.0,2018-04-03
307,64.77,73.85,muravlenko,RU,12.86,79.0,15.14,92.0,2018-04-03
308,31.8,-104.38,carlsbad,CZ,51.8,53.0,3.36,0.0,2018-04-03
309,10.19,-84.96,juntas,EC,64.43,100.0,1.28,88.0,2018-04-03
310,53.4,90.44,askiz,RU,11.6,79.0,6.98,0.0,2018-04-03
311,18.98,-0.16,kidal,ML,68.39,20.0,6.76,0.0,2018-04-03
312,74.09,-2.15,klaksvik,FO,26.6,100.0,1.12,12.0,2018-04-03
313,43.98,27.75,dobromir,BG,42.8,75.0,4.7,0.0,2018-04-03
314,35.0,-90.85,forrest city,US,77.0,57.0,18.34,92.0,2018-04-03
315,11.25,0.15,ouargaye,BF,76.85,39.0,4.29,0.0,2018-04-03
316,56.28,-11.02,ballina,IE,37.16,100.0,14.03,92.0,2018-04-03
317,16.28,49.84,salalah,OM,77.0,73.0,3.36,40.0,2018-04-03
318,23.05,57.33,nizwa,OM,61.28,64.0,2.39,32.0,2018-04-03
319,67.25,-69.2,clyde river,CA,6.8,77.0,21.92,1.0,2018-04-03
320,-16.96,149.13,ayr,GB,41.0,93.0,8.32,40.0,2018-04-03
321,-25.63,43.92,beloha,MG,74.87,79.0,13.47,0.0,2018-04-03
322,70.93,-168.77,lavrentiya,RU,22.31,98.0,23.98,0.0,2018-04-03
323,-6.07,147.91,finschhafen,PG,79.28,88.0,2.62,44.0,2018-04-03
324,-0.97,0.35,takoradi,GH,82.28,96.0,8.75,8.0,2018-04-03
325,3.44,4.4,yenagoa,NG,75.95,95.0,5.53,20.0,2018-04-03
326,53.83,-43.6,nanortalik,GL,31.58,100.0,20.85,24.0,2018-04-03
327,42.57,-13.38,muros,ES,44.6,87.0,12.75,40.0,2018-04-03
