Year,Department,County,Pop of Jurisdaiction,"Employee Rate Per 1,000 Pop.",Total Personnel,Sworn Male ,Sworn Female,Civilian Male,Civilian Female
2010,PLYMOUTH,Litch,"12,202",1.8,22,20,2,0,0
2010,PORTLAND,MidSex,"9,785",1.23,12,11,0,0,1
2010,PUTNAM MUNICIPAL,Wind,"7,094",2.54,18,14,1,2,1
2010,REDDING,Fair,"9,003",2.33,21,14,1,5,1
2010,RIDGEFIELD,Fair,"24,591",1.83,45,37,3,2,3
2010,ROCKY HILL,Hart,"19,152",2.09,40,30,3,4,3
2010,SEYMOUR,NH,"16,616",2.53,42,38,2,0,2
2010,SHELTON,Fair,"41,037",1.51,62,53,2,3,4
2010,SIMSBURY,Hart,"23,988",1.75,42,30,4,2,6
2010,SOUTH WINDSOR,Hart,"26,781",1.98,53,33,6,5,9
2010,SOUTHINGTON,Hart,"43,354",2.01,87,63,3,13,8
2010,STAMFORD,Fair,"122,933",2.67,328,255,22,30,21
2010,STONINGTON,NL,"18,807",2.5,47,32,4,5,6
2010,STRATFORD,Fair,"49,469",2.2,109,93,9,2,5
2010,SUFFIELD,Hart,"15,524",1.55,24,19,0,1,4
2010,THOMASTON,Litch,"7,928",1.77,14,10,1,3,0
2010,TORRINGTON,Litch,"35,876",2.76,99,81,4,5,9
2010,TRUMBULL,Fair,"35,425",2.31,82,67,4,2,9
2010,VERNON,Toll,"30,785",2.05,63,47,3,4,9
2010,WALLINGFORD,NH,"45,636",2.04,93,57,9,13,14
2010,WATERBURY,NH,"108,489",3.24,352,261,24,28,39
2010,WATERFORD,NL,"19,161",2.77,53,41,5,1,6
2010,WATERTOWN,Litch,"22,552",2.22,50,36,4,6,4
2010,WEST HARTFORD,Hart,"61,603",2.39,147,119,7,7,14
2010,WEST HAVEN,NH,"53,746",2.36,127,100,14,4,9
2010,WESTON,Fair,"10,344",1.45,15,13,1,0,1
2010,WESTPORT,Fair,"27,242",3.19,87,58,10,10,9
2010,WETHERSFIELD,Hart,"26,042",2.23,58,42,5,3,8
2010,WILLIMANTIC,Wind,"16,605",2.71,45,38,3,0,4
2010,WILTON,Fair,"18,007",2.61,47,40,3,2,2
2010,WINCHESTER,Litch,"10,927",2.1,23,18,1,2,2
2010,WINDSOR,Hart,"29,447",2.07,61,41,8,3,9
2010,WINDSOR LOCKS,Hart,"12,722",2.36,30,23,1,3,3
2010,WOLCOTT,NH,"16,799",1.67,28,19,0,2,7
2010,WOODBRIDGE,NH,"9,324",3.65,34,24,1,5,4
2010,C.C.S.U.,Hart,,,28,20,1,2,5
2010,E.C.S.U.,Wind,,,23,13,4,2,4
2010,S.C.S.U.,NH,,,33,21,5,3,4
2010,W.C.S.U.,Fair,,,24,16,1,4,3
2010,UCONN-STORRS,Toll,,,88,63,7,10,8
2010,UCONN HEALTH CTR,Hart,,,28,14,0,9,5
2010,YALE,NH,,,101,67,18,6,10
2010,STATE CAPITOL,Hart,,,36,26,1,7,2
2010,METROPOLITAN TA,,,,755,610,74,28,43
